,,,,,,,,,2004 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,
,"STAFFORD, BILL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CARLISLE, GENE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1ST SOLO UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"MYNAR, FRED",,11:22:00,,14:29:00,,17:40:00,,21:44:00,,2:59:00,,6:49:00,,8:41:00,,13:24:00,,17:28:00,,19:55:00,,22:24:00,,,,,,
98,"MYERS, ROGER",6,2:22:00,7,3:07:00,5,3:11:00,6,4:04:00,10,5:15:00,15,3:50:00,8,1:52:00,4,4:43:00,2,4:04:00,2,2:27:00,1,2:29:00,,,,,,
, ,6,2:22:00,6,5:29:00,6,8:40:00,6,12:44:00,7,17:59:00,7,21:49:00,7,23:41:00,7,28:24:00,6,32:28:00,5,34:55:00,4,37:24:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4TH UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"DROST, MICHAEL",,11:21:00,,14:19:00,,17:35:00,,21:37:00,,2:25:00,,5:38:00,,7:37:00,,12:29:00,,16:56:00,,19:48:00,,22:33:00,,,,,,
77,"BLOUIN, PHILLIPE",4,2:21:00,4,2:58:00,7,3:16:00,3,4:02:00,5,4:48:00,3,3:13:00,15,1:59:00,7,4:52:00,5,4:27:00,6,2:52:00,7,2:45:00,,,,,,
,"HICKS, GRADY",4,2:21:00,4,5:19:00,5,8:35:00,5,12:37:00,4,17:25:00,4,20:38:00,4,22:37:00,4,27:29:00,3,31:56:00,4,34:48:00,5,37:33:00,,,,,,
,"MEURER, CINDY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"WUESTE, JEFF",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"COPPEDGE, MARC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HARVEY, JIMMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TURNER, GINGER",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5TH UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"CHURCHMAN, PETER (DNF)",,11:12:00,,13:57:00,,16:56:00,,21:02:00,,1:46:00,,5:01:00,,7:03:00,,12:36,,17:01:00,,19:57:00,,22:58:00,,,,,,
10,"GLOCK, JEFF",2,2:12:00,2,2:45:00,2,2:59:00,7,4:06:00,4,4:44:00,4,3:15:00,19,2:02:00,13,5:23:00,8,4:35:00,7,2:56:00,11,3:01:00,,,,,,
,"DEVINEY, LEE",2,2:12:00,2,4:57:00,2,7:56:00,2,12:02:00,2,16:46:00,3,20:01:00,3,22:03:00,3,27:26:00,4,32:01:00,6,34:57:00,6,37:58:00,,,,,,
,"LISBY, ALEX (DNF)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CRUZ, DANIEL (DNF)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LOPEZ, ARMIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HANSEN, WEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1ST USCA C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"RASK, MICHAEL",,11:37:00,,14:46:00,,18:09:00,,22:09:00,,3:20:00,,7:02:00,,8:45:00,,13:37:00,,18:06:00,,20:45:00,,23:21:00,,,,,,
71,"BINION, WADE",10,2:37:00,8,3:09:00,12,3:23:00,2,4:00:00,9,5:11:00,12,3:42:00,3,1:43:00,8,4:52:00,6,4:29:00,4,2:39:00,4,2:36:00,,,,,,
,"WYTASKE, ROB",10,2:37:00,8,5:46:00,9,9:09:00,8,13:09:00,8,18:20:00,8,22:02:00,8,23:45:00,9,28:37:00,8,33:06:00,8,35:45:00,7,38:21:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1ST MIXED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"DERRICK, PETER",,11:42:00,,15:00:00,,18:22:00,,22:42:00,,3:43:00,,7:23:00,,9:11:00,,14:08:00,,18:39:00,,21:36:00,,0:27:00,,,,,,
500,"DERRICK, KATHY",14,2:42:00,11,3:18:00,11,3:22:00,11,4:20:00,6,5:01:00,11,3:40:00,6,1:48:00,9,4:57:00,7,4:31:00,9,2:57:00,10,2:51:00,,,,,,
,"SOUTHARD, J.",14,2:42:00,13,6:00:00,12,9:22:00,11,13:42:00,10,18:43:00,11,22:23:00,11,24:11:00,11,29:08:00,9,33:39:00,9,36:36:00,8,39:27:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1ST TANDEM UNLIMITED,,11:22:00,,14:15:00,,17:14:00,,21:18:00,,2:36:00,,6:01:00,,8:00:00,,12:49:00,,17:43:00,,20:39:00,,0:47:00,,,,,,
9,"STEPPE, RICHARD",5,2:22:00,3,2:53:00,3,2:59:00,5,4:04:00,11,5:18:00,6,3:25:00,16,1:59:00,6,4:49:00,11,4:54:00,8,2:56:00,37,4:08:00,,,,,,
4971,"MAGEE, ERIN",5,2:22:00,3,5:15:00,3,8:14:00,3,12:18:00,5,17:36:00,5,21:01:00,6,23:00:00,6,27:49:00,7,32:43:00,7,35:39:00,9,39:47:00,,,,,,
,"KUHN, KIMBALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2ND SOLO  UNLIMITED,,11:39:00,,14:57:00,,18:15:00,,22:45:00,,3:55:00,,7:20:00,,9:09:00,,14:07:00,,18:56:00,,22:05:00,,1:43:00,,,,,,
27,"BUGGE, JOHN",12,2:39:00,10,3:18:00,9,3:18:00,13,4:30:00,8,5:10:00,7,3:25:00,7,1:49:00,10,4:58:00,9,4:49:00,12,3:09:00,27,3:38:00,,,,,,
,"YONAVICH, B",12,2:39:00,10,5:57:00,10,9:15:00,12,13:45:00,11,18:55:00,10,22:20:00,10,24:09:00,10,29:07:00,10,33:56:00,10,37:05:00,10,40:43:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2ND MIXED,,11:38:00,,14:57:00,,18:15:00,,22:35:00,,4:03:00,,7:45:00,,9:40:00,,14:41:00,,19:36:00,,22:59:00,,2:40:00,,,,,,
524,"YONLEY, TOMMY",11,2:38:00,12,3:19:00,10,3:18:00,10,4:20:00,13,5:28:00,13,3:42:00,10,1:55:00,11,5:01:00,12,4:55:00,18,3:23:00,28,3:41:00,,,,,,
,"YONLEY, SANDY",11,2:38:00,11,5:57:00,11,9:15:00,10,13:35:00,12,19:03:00,12,22:45:00,12,24:40:00,12,29:41:00,11,34:36:00,11,37:59:00,11,41:40:00,,,,,,
,"REDDEN, B.", , , , , , , , , , , , , , , , , , , , , , ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6TH UNLIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"BAKER, MATT",,11:48:00,,15:15:00,,18:44:00,,23:24:00,,5:22:00,,8:53:00,,10:39:00,,15:52:00,,20:44:00,,23:51:00,,3:11:00,,,,,,
316,"WILSON, M",17,2:48:00,14,3:27:00,14,3:29:00,14,4:40:00,18,5:58:00,8,3:31:00,5,1:46:00,12,5:13:00,10,4:52:00,11,3:07:00,18,3:20:00,,,,,,
,"MARION, T",17,2:48:00,14,6:15:00,14,9:44:00,15,14:24:00,16,20:22:00,14,23:53:00,13,25:39:00,13,30:52:00,12,35:44:00,12,38:51:00,12,42:11:00,,,,,,
,"BAKER, CHARLES",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1ST STANDARD,,11:53:00,,15:18:00,,18:48:00,,23:16:00,,4:57:00,,8:45:00,,10:43:00,,16:20:00,,21:30:00,,0:45:00,,4:00:00,,,,,,
13,"JONES, GASTON",23,2:53:00,13,3:25:00,15,3:30:00,12,4:28:00,16,5:41:00,14,3:48:00,14,1:58:00,18,5:37:00,15,5:10:00,13,3:15:00,16,3:15:00,,,,,,
808,"JONES, G",23,2:53:00,16,6:18:00,15,9:48:00,13,14:16:00,14,19:57:00,13,23:45:00,14,25:43:00,14,31:20:00,13,36:30:00,13,39:45:00,13,43:00:00,,,,,,
,"HANSON, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1ST NOVICE,,11:48:00,,15:21:00,,19:02:00,,23:43:00,,5:20:00,,9:20:00,,11:32:00,,17:18:00,,22:26:00,,1:28:00,,5:03:00,,,,,,
14,"MELDER, GEORGE",19,2:48:00,17,3:33:00,18,3:41:00,15,4:41:00,15,5:37:00,23,4:00:00,26,2:12:00,21,5:46:00,14,5:08:00,10,3:02:00,26,3:35:00,,,,,,
24,CHELLETTE,19,2:48:00,18,6:21:00,19,10:02:00,16,14:43:00,15,20:20:00,15,24:20:00,16,26:32:00,16,32:18:00,14,37:26:00,14,40:28:00,14,44:03:00,,,,,,
,"MELDER, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,7TH UNLIIMITED,,12:00:00,,15:44:00,,19:28:00,,:38,,7:04:00,,10:38:00,,12:39:00,,18:06:00,,23:30:00,,3:41:00,,6:30:00,,,,,,
15,"JOHNSON, SCOTT",27,3:00:00,26,3:44:00,22,3:44:00,21,5:10:00,25,6:26:00,10,3:34:00,18,2:01:00,14,5:27:00,19,5:24:00,39,4:11:00,8,2:49:00,,,,,,
535,"JOHNSON, ANA",27,3:00:00,26,6:44:00,25,10:28:00,23,15:38:00,23,22:04:00,17,25:38:00,18,27:39:00,17,33:06:00,17,38:30:00,15,42:41:00,15,45:30:00,,,,,,
,"JOHNSON, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"GRAY, L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2ND STANDARD,,12:01:00,,15:40:00,,19:24:00,,0:31:00,,6:48:00,,10:46:00,,12:39:00,,18:06:00,,23:25:00,,3:51:00,,6:40:00,,,,,,
16,"JIRAL, DARRYL",28,3:01:00,22,3:39:00,21,3:44:00,20,5:07:00,22,6:17:00,22,3:58:00,9,1:53:00,16,5:27:00,16,5:19:00,43,4:26:00,9,2:49:00,,,,,,
824,"AZIZ, KAREEM",28,3:01:00,24,6:40:00,24,10:24:00,20,15:31:00,19,21:48:00,19,25:46:00,17,27:39:00,18,33:06:00,16,38:25:00,16,42:51:00,16,45:40:00,,,,,,
,"BIELKA, J",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3RD MIXED,,11:50:00,,15:31:00,,19:02:00,,0:31:00,,6:56:00,,10:50:00,,13:00:00,,19:18:00,,0:51:00,,4:32:00,,7:34:00,,,,,,
17,"KISSING, R.D",20,2:50:00,24,3:41:00,16,3:31:00,24,5:29:00,24,6:25:00,17,3:54:00,22,2:10:00,25,6:18:00,21,5:33:00,24,3:41:00,12,3:02:00,,,,,,
888,"TIPTON, MARY",20,2:50:00,23,6:31:00,18,10:02:00,21,51:31:00,22,21:56:00,20,25:50:00,20,28:00:00,21,34:18:00,21,39:51:00,18,43:32:00,17,46:34:00,,,,,,
,"BROWN, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3RD STANDARD,,11:51:00,,15:28:00,,19:14:00,,0:37:00,,7:43:00,,11:37:00,,13:52:00,,19:24:00,,0:21:00,,4:35:00,,7:39:00,,,,,,
18,"KOSLOSKY, ED",22,2:51:00,21,3:37:00,23,3:46:00,22,5:23:00,46,7:06:00,18,3:54:00,27,2:15:00,17,5:32:00,13,4:57:00,41,4:14:00,13,3:04:00,,,,,,
101,"WEBER, JIM",22,2:51:00,22,6:28:00,21,10:14:00,22,15:37:00,25,22:43:00,24,26:37:00,24,28:52:00,22,34:24:00,18,39:21:00,19,43:35:00,18,46:39:00,,,,,,
,"KOSLOSKY, MARTHA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2ND ALUMINUM,,11:58:00,,15:04:00,,19:51:00,,1:22:00,,7:30:00,,11:34:00,,13:34:00,,19:02:00,,0:25:00,,4:26:00,,7:58:00,,,,,,
19,"ECTON, J.",25,2:58:00,25,3:42:00,38,4:11:00,25,5:31:00,19,6:08:00,24,4:04:00,17,2:00:00,16,5:28:00,18,5:23:00,31,4:01:00,22,3:32:00,,,,,,
111,"ROBERTS, DAVID",25,2:58:00,25,6:40:00,29,10:51:00,26,16:22:00,24,22:30:00,23,26:34:00,23,28:34:00,20,34:02:00,19,39:25:00,17,43:26:00,19,46:58:00,,,,,,
,"ECTON, B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2ND TANDEM UNLIMITED,,12:10:00,,15:49:00,,19:45:00,,1:08:00,,6:50:00,,11:00:00,,13:22:00,,19:30:00,,1:34:00,,5:39:00,,9:10:00,,,,,,
20,"KLAUSMEYER, GREG",34,3:10:00,23,3:39:00,28,3:56:00,23,5:23:00,17,5:42:00,28,4:10:00,31,2:22:00,22,6:08:00,28,6:04:00,33,4:05:00,21,3:31:00,,,,,,
1836,"MACKAY, DOUG",34,3:10:00,27,6:49:00,27,10:45:00,25,16:08:00,20,21:50:00,21,26:00:00,21,28:22:00,23,34:30:00,22,40:34:00,20,44:39:00,20,48:10:00,,,,,,
,"BRANCH, BOYD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,8TH UNLIMITED,,11:51:00,,15:27:00,,19:21:00,,0:26:00,,6:50:00,,10:46:00,,12:42:00,,18:53:00,,0:43:00,,6:17:00,,9:30:00,,,,,,
21,"POPE, TOM",21,2:51:00,20,3:36:00,26,3:54:00,18,5:05:00,23,6:24:00,20,3:56:00,12,1:56:00,24,6:11:00,26,5:50:00,51,5:34:00,14,3:13:00,,,,,,
5,"GUERRERO, ROLAND",21,2:51:00,20,6:27:00,23,10:21:00,19,15:26:00,21,21:50:00,18,25:46:00,19,27:42:00,19,33:53:00,20,39:43:00,21,45:17:00,21,48:30:00,,,,,,
,PERRY B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POPE, L",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"GUERRERO, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3RD ALUMINUM,,11:47:00,,15:16:00,,18:59:00,,0:06:00,,6:46:00,,11:00:00,,13:23:00,,19:44:00,,2:02:00,,6:21:00,,10:11:00,,,,,,
22,"HATTON, DOUG (DNF)",16,2:47:00,16,3:29:00,19,3:43:00,20,5:07:00,36,6:40:00,30,4:14:00,33,2:23:00,26,6:21:00,34,6:18:00,43,4:19:00,29,3:50:00,,,,,,
1111,"DORAN, JIMMY",16,2:47:00,15,6:16:00,17,9:59:00,18,15:06:00,18,21:46:00,22,26:00:00,22,28:23:00,24,34:44:00,23,41:02:00,22,45:21:00,22,49:11:00,,,,,,
,"WEST, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,4TH STANDARD,,12:08:00,,15:54:00,,19:53:00,,1:27:00,,7:55:00,,12:00:00,,14:27:00,,20:35:00,,3:19:00,,7:10:00,,10:23:00,,,,,,
23,"QUINLAN, J",33,3:08:00,27,3:46:00,29,3:59:00,27,5:34:00,26,6:28:00,25,4:05:00,37,2:27:00,22,6:08:00,37,6:44:00,26,3:51:00,15,3:13:00,,,,,,
6023,"WATSON, J.",33,3:08:00,29,6:54:00,30,10:53:00,27,16:27:00,26,22:55:00,25,27:00:00,25,29:27:00,25,35:35:00,24,42:19:00,24,46:10:00,23,49:23:00,,,,,,
,"REEVES, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1ST WOMENS SOLO,,12:19:00,,16:17:00,,20:25:00,,2:12:00,,8:40:00,,12:35:00,,15:03:00,,22:03:00,,3:49:00,,7:10:00,,10:26:00,,,,,,
24,"NELSON, HOLLY",44,3:19:00,37,3:58:00,35,4:08:00,29,5:47:00,28,6:28:00,19,3:55:00,38,2:28:00,30,7:00:00,24,5:46:00,17,3:21:00,17,3:16:00,,,,,,
1357,"NELSON, ROGER",44,3:19:00,38,7:17:00,36,11:25:00,30,17:12:00,29,23:40:00,26,27:35:00,26,30:03:00,28,37:03:00,25,42:49:00,23,46:10:00,24,49:26:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,4TH MIXED,,12:15:00,,16:03:00,,20:03:00,,1:58:00,,8:26:00,,13:25:00,,15:31:00,,22:03:00,,3:51:00,,7:25:00,,10:50:00,,,,,,
25,"NELSON, ANDREW",39,3:15:00,30,3:48:00,31,4:00:00,32,5:55:00,27,6:28:00,46,4:59:00,20,2:06:00,27,6:32:00,25,5:48:00,23,3:34:00,19,3:25:00,,,,,,
357,"NELSON, J",39,3:15:00,33,7:03:00,31,11:03:00,29,16:58:00,27,23:26:00,29,28:25:00,28,30:31:00,27,37:03:00,26,42:51:00,25,46:25:00,25,49:50:00,,,,,,
,"STEWART, NATHAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2ND NOVICE,,12:16:00,,16:38:00,,20:47:00,,2:18:00,,9:13:00,,13:23:00,,15:33:00,,21:49:00,,5:15:00,,8:46:00,,12:14:00,,,,,,
26,"AMEEN, RICHARD",43,3:16:00,52,4:22:00,37,4:09:00,26,5:31:00,42,6:55:00,30,4:10:00,23,2:10:00,24,6:16:00,44,7:26:00,20,3:31:00,20,3:28:00,,,,,,
8005,"KOHUT, GREG",43,3:16:00,44,7:38:00,42,11:47:00,33,17:18:00,31,24:13:00,28,28:23:00,29,30:33:00,26,36:49:00,28,44:15:00,26,47:46:00,26,51:14:00,,,,,,
,"AMEEN, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,5TH STANDARD,,12:06:00,,16:04:00,,20:05:00,,1:57:00,,9:23:00,,13:30:00,,16:14:00,,22:48:00,,5:15:00,,8:56:00,,12:33:00,,,,,,
27,"WENTRCEK, T.",31,3:06:00,36,3:58:00,32,4:01:00,31,5:52:00,51,7:26:00,28,4:07:00,46,2:44:00,28,6:34:00,36,6:27:00,25,3:41:00,27,3:57:00,,,,,,
1972,"SULLIVAN, J.",31,3:06:00,35,7:04:00,32,11:05:00,28,16:57:00,32,24:23:00,30,28:30:00,32,31:14:00,29,37:48:00,27,44:15:00,27,47:56:00,27,51:33:00,,,,,,
,"BIBLE, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,4TH SOLO UNLIMITED,,11:44:00,,15:20:00,,18:55:00,,23:59:00,,5:29:00,,9:22:00,,11:17:00,,16:59:00,,22:26:00,,10:15:00,,13:48:00,,,,,,
28,"DORNAK, HENRY",15,2:44:00,19,3:36:00,17,3:35:00,17,5:04:00,14,5:30:00,16,3:53:00,11,1:55:00,19,5:42:00,20,5:27:00,57,11:49:00,24,3:33:00,,,,,,
971,"LEE, S.",15,2:44:00,17,6:20:00,16,9:55:00,17,14:59:00,17,20:29:00,16,24:22:00,15,26:17:00,15,31:59:00,15,37:26:00,28,49:15:00,28,52:48:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,4TH ALUMINUM,,12:11:00,,16:08:00,,20:29:00,,2:17:00,,9:07:00,,13:59:00,,16:10:00,,0:40:00,,6:52:00,,10:23:00,,14:24:00,,,,,,
29,"ROACH, L.",35,3:11:00,33,3:57:00,42,4:21:00,30,5:48:00,40,6:50:00,45,4:52:00,24,2:11:00,40,8:30:00,30,6:12:00,21,3:31:00,35,4:01:00,,,,,,
323,"ROACH, S.",35,3:11:00,36,7:08:00,38,11:29:00,31,17:17:00,30,24:07:00,32,28:59:00,30,31:10:00,32,39:40:00,29,45:52:00,29,49:23:00,29,53:24:00,,,,,,
,GRAY C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,6TH STANDARD,,12:13:00,,16:18:00,,20:37:00,,3:03:00,,9:34:00,,13:59:00,,16:10:00,,0:39:00,,6:52:00,,10:23:00,,14:27:00,,,,,,
30,"METZLER, K.",38,3:13:00,38,4:05:00,40,4:19:00,34,6:26:00,30,6:31:00,39,4:25:00,25,2:11:00,39,8:29:00,31,6:13:00,22,3:31:00,37,4:04:00,,,,,,
64,"METZLER, F",38,3:13:00,39,7:18:00,39,11:37:00,35,18:03:00,33,24:34:00,31,28:59:00,31,31:10:00,31,39:39:00,30,45:52:00,30,49:23:00,30,53:27:00,,,,,,
,"METZLER, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,5TH SOLO UNLIMITED,,11:48:00,,15:22:00,,19:15:00,,1:01:00,,8:37:00,,12:43:00,,15:27:00,,0:00:00,,7:38:00,,11:45:00,,16:34:00,,,,,,
31,"STEWART, CHARLIE",18,2:48:00,18,3:34:00,24,3:53:00,28,5:46:00,52,7:36:00,26,4:06:00,45,2:44:00,41,8:33:00,45,7:38:00,35,4:07:00,49,4:49:00,,,,,,
33,BELK. T.,18,2:48:00,19,6:22:00,22,10:15:00,24,16:01:00,28,23:37:00,27,27:43:00,27,30:27:00,30,39:00:00,31,46:38:00,31,50:45:00,31,55:34:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3RD NOVICE,,12:24:00,,16:32:00,,20:55:00,,3:03:00,,10:20:00,,14:41:00,,17:03:00,,4:42:00,,10:34:00,,14:28:00,,18:27:00,,,,,,
32,"THOMASEN, A",45,3:24:00,41,4:08:00,44,4:23:00,33,6:08:00,48,7:17:00,35,4:21:00,32,22:02:00,54,11:39:00,27,5:52:00,28,3:54:00,32,3:59:00,,,,,,
331,CHOKAWALA,45,3:24:00,42,7:32:00,44,11:55:00,34,18:03:00,34,25:20:00,33,29:41:00,33,32:03:00,37,43:42:00,33,49:34:00,35,53:28:00,32,57:27:00,,,,,,
,"THOMASEN, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,5TH ALUMINUM,,12:35:00,,17:06:00,,21:52:00,,4:38:00,,11:15:00,,15:35:00,,17:55:00,,1:01:00,,7:51:00,,14:21:00,,18:37:00,,,,,,
33,"JACOBS, G.",53,3:35:00,53,4:31:00,51,4:46:00,39,6:46:00,36,6:37:00,32,4:20:00,30,2:20:00,31,7:06:00,40,6:50:00,55,6:30:00,39,4:16:00,,,,,,
1620,"MOSS, HOYT",53,3:35:00,53,8:06:00,50,12:52:00,40,19:38:00,38,26:15:00,37,30:35:00,37,32:55:00,33,40:01:00,32,46:51:00,34,53:21:00,33,57:37:00,,,,,,
,HENDERSON,,,,,,,,,,,,,,,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2ND WOMEN'S SOLO,,12:07:00,,15:55:00,,19:50:00,,3:08:00,,10:23:00,,15:09:00,,17:41:00,,2:57:00,,10:38:00,,14:20:00,,18:38:00,,,,,,
